"Symbol","logFC","logCPM","F","PValue","FDR"
"HARS2",-1.55613463981544,3.97984166208725,53.3590684137303,8.35144306727506e-05,0.00553172836352792
"PYM1",-1.58293755031778,3.24622367114142,53.0183728058274,8.54232776133002e-05,0.00553172836352792
"HYLS1",-1.63320093005966,3.48533723657663,52.9231882927314,8.59663023723168e-05,0.00553172836352792
"JPH1",-2.46110263870679,2.07224043239708,52.9196358428051,8.59866524214559e-05,0.00553172836352792
"LINS1",-1.50359607799914,3.54101887804518,52.8113015729955,8.66101434710492e-05,0.00553172836352792
"GCNT1",-1.78681977767335,3.25307923619627,52.7962202874889,8.66973877473667e-05,0.00553172836352792
"CREB1",-1.89860230604312,5.23306871834303,52.7771442393194,8.68078989387385e-05,0.00553172836352792
"ZSCAN12",-1.72084095540306,3.09533894606921,52.7676654118755,8.68628771037738e-05,0.00553172836352792
"ATF7",-1.41585125891062,4.15829139444963,52.7610495557901,8.69012755438351e-05,0.00553172836352792
"SOS1",-1.36385471287862,5.20008804486916,52.7002181205197,8.72553380152983e-05,0.00553172836352792
"FBXO28",-1.65377846833795,4.54706403094933,52.6384370798071,8.7616775750591e-05,0.00553172836352792
"DNAJC14",-1.11173381257065,4.8689106258792,52.5604515426158,8.80756919499224e-05,0.00553172836352792
"KLHDC10",-1.59891659572111,3.70732877436361,52.5425110830251,8.81816899061158e-05,0.00553172836352792
"TMEM138",-1.55258169028661,4.43430374336003,52.4784038784907,8.85617615018533e-05,0.00553172836352792
"TMPPE",2.0869644629752,3.97973036270593,52.4627542189059,8.86548543292954e-05,0.00553172836352792
"ZNF662",-1.94754516039347,2.62559378453133,52.307965647539,8.95822453374446e-05,0.00556335183720055
"CNOT2",-1.24774796929707,5.01076665193047,52.0942362550247,9.08828016724982e-05,0.00561774626412994
"GEN1",-1.61157960977819,4.67552147737446,51.7267404199051,9.31747274574652e-05,0.00573262927817372
"GMEB1",-1.23352344044628,4.380048986407,51.6454296074773,9.36915613268394e-05,0.00573774061681218
"NOG",1.89319948242046,5.00909347272164,51.4141097883229,9.51816275428485e-05,0.00579276520133812
"ABHD17C",-1.55983216947375,3.66528903410779,51.2803869600364,9.60565394844112e-05,0.00579276520133812
"TMEM97",-1.47118185916468,5.69260826513086,51.0820279220562,9.73729547626585e-05,0.00579276520133812
"ZNF836",-3.15176616380027,0.527192357891272,51.0444804780613,9.7624673307393e-05,0.00579276520133812
"C12orf65",-2.32243143041185,3.67736099335469,51.023450246921,9.77660157736638e-05,0.00579276520133812
"TBC1D20",-1.16271086129907,4.88060347163233,50.9624833164649,9.8177218233853e-05,0.00579276520133812
"PHF23",-1.16253555395094,4.89244525330107,50.9381470856679,9.83419621339525e-05,0.00579276520133812
